group_id,category,subcategory,framework,ecosystem
Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100,,,,dotnet
Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.Maui.Manifest-7.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.Maui.Manifest-8.0.100,,,,dotnet
Microsoft.NET.Sdk.Maui.Manifest-8.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.Maui.Manifest-9.0.100,,,,dotnet
Microsoft.NET.Sdk.Maui.Manifest-9.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.iOS.Manifest-7.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.iOS.Manifest-8.0.100,,,,dotnet
Microsoft.NET.Sdk.iOS.Manifest-8.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.iOS.Manifest-9.0.100,,,,dotnet
Microsoft.NET.Sdk.iOS.Manifest-9.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.macOS.Manifest-7.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.macOS.Manifest-8.0.100,,,,dotnet
Microsoft.NET.Sdk.macOS.Manifest-8.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.macOS.Manifest-9.0.100,,,,dotnet
Microsoft.NET.Sdk.macOS.Manifest-9.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.tvOS.Manifest-7.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.tvOS.Manifest-8.0.100,,,,dotnet
Microsoft.NET.Sdk.tvOS.Manifest-8.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Sdk.tvOS.Manifest-9.0.100,,,,dotnet
Microsoft.NET.Sdk.tvOS.Manifest-9.0.100.Msi.x64,,,,dotnet
Microsoft.NET.StringTools,,,,dotnet
Microsoft.NET.Workload.Emscripten.Current.Manifest-8.0.100,,,,dotnet
Microsoft.NET.Workload.Emscripten.Current.Manifest-8.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Workload.Emscripten.Current.Manifest-9.0.100,,,,dotnet
Microsoft.NET.Workload.Emscripten.Current.Manifest-9.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Workload.Emscripten.Manifest-6.0.100,,,,dotnet
Microsoft.NET.Workload.Emscripten.Manifest-6.0.200,,,,dotnet
Microsoft.NET.Workload.Emscripten.Manifest-6.0.300,,,,dotnet
Microsoft.NET.Workload.Emscripten.Manifest-6.0.400,,,,dotnet
Microsoft.NET.Workload.Emscripten.net6.Manifest-7.0.100,,,,dotnet
Microsoft.NET.Workload.Emscripten.net6.Manifest-7.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Workload.Emscripten.net6.Manifest-8.0.100,,,,dotnet
Microsoft.NET.Workload.Emscripten.net6.Manifest-8.0.100.Msi.x64,,,,dotnet
Microsoft.NET.Workload.Emscripten.net6.Manifest-9.0.100,,,,dotnet
Microsoft.NET.Workload.Emscripten.net6.Manifest-9.0.100.Msi.x64,,,,dotnet
